usage_rgn_cd,region_sido,region_sigungu,drop_reason,mapping_note
41480,경기,파주시,,사용처지역코드 파일 기준
41500,경기,이천시,,사용처지역코드 파일 기준
41550,경기,안성시,,사용처지역코드 파일 기준
41570,경기,김포시,,사용처지역코드 파일 기준
41590,경기,화성시,,사용처지역코드 파일 기준
41610,경기,광주시,,사용처지역코드 파일 기준
41630,경기,양주시,,사용처지역코드 파일 기준
41650,경기,포천시,,사용처지역코드 파일 기준
41670,경기,여주시,,사용처지역코드 파일 기준
41800,경기,연천군,,사용처지역코드 파일 기준
41820,경기,가평군,,사용처지역코드 파일 기준
41830,경기,양평군,,사용처지역코드 파일 기준
43110,,,사용처지역코드 참고파일 미매칭,old clean 기준에 맞춰 제외
43111,충북,청주시,,사용처지역코드 파일 기준
43112,충북,청주시,,사용처지역코드 파일 기준
43113,충북,청주시,,사용처지역코드 파일 기준
43114,충북,청주시,,사용처지역코드 파일 기준
43130,충북,충주시,,사용처지역코드 파일 기준
43150,충북,제천시,,사용처지역코드 파일 기준
43720,충북,보은군,,사용처지역코드 파일 기준
43730,충북,옥천군,,사용처지역코드 파일 기준
43740,충북,영동군,,사용처지역코드 파일 기준
43745,충북,증평군,,사용처지역코드 파일 기준
43750,충북,진천군,,사용처지역코드 파일 기준
43760,충북,괴산군,,사용처지역코드 파일 기준
43770,충북,음성군,,사용처지역코드 파일 기준
43800,충북,단양군,,사용처지역코드 파일 기준
44130,,,사용처지역코드 참고파일 미매칭,old clean 기준에 맞춰 제외
44131,충남,천안시,,사용처지역코드 파일 기준
44133,충남,천안시,,사용처지역코드 파일 기준
44150,충남,공주시,,사용처지역코드 파일 기준
44180,충남,보령시,,사용처지역코드 파일 기준
44200,충남,아산시,,사용처지역코드 파일 기준
44210,충남,서산시,,사용처지역코드 파일 기준
44230,충남,논산시,,사용처지역코드 파일 기준
44250,충남,계룡시,,사용처지역코드 파일 기준
44270,충남,당진시,,사용처지역코드 파일 기준
44710,충남,금산군,,사용처지역코드 파일 기준
44760,충남,부여군,,사용처지역코드 파일 기준
